min_lon,min_lat,max_lon,max_lat,Island_Letter,Island_Number,Grid_Number,island_number
-90.93473815917969,-0.5166800022125244,-90.90144783201671,-0.4836277524630229,X,1,213,1
-90.53478240966795,-0.5166800022125244,-90.501492082505,-0.4836277524630229,X,1,214,4
-90.50144958496094,-0.5166800022125244,-90.46815925779795,-0.4836277524630229,X,1,215,4
-90.4681167602539,-0.5166800022125244,-90.43482643309092,-0.4836277524630229,X,1,216,4
-90.4347915649414,-0.5166800022125244,-90.40150123777843,-0.4836277524630229,X,1,217,4
-90.40145874023438,-0.5166800022125244,-90.3681684130714,-0.4836277524630229,X,1,218,4
-90.23480987548828,-0.5166800022125244,-90.20151954832531,-0.4836277524630229,X,1,219,4
-91.66799926757812,-0.4833500087261201,-91.63470894041515,-0.4502977589766185,X,1,220,1
-91.6346664428711,-0.4833500087261201,-91.60137611570812,-0.4502977589766185,X,1,221,1
-91.40135955810548,-0.4833500087261201,-91.3680692309425,-0.4502977589766185,X,1,222,1
-91.2680435180664,-0.4833500087261201,-91.23475319090343,-0.4502977589766185,X,1,223,1
-90.93473815917969,-0.4833500087261201,-90.90144783201671,-0.4502977589766185,X,1,224,1
-90.40145874023438,-0.4833500087261201,-90.3681684130714,-0.4502977589766185,X,1,225,4
-90.36813354492188,-0.4833500087261201,-90.3348432177589,-0.4502977589766185,X,1,226,4
-90.33480072021484,-0.4833500087261201,-90.30151039305187,-0.4502977589766185,X,1,227,4
-90.26814270019531,-0.4833500087261201,-90.23485237303234,-0.4502977589766185,X,1,228,4
-90.23480987548828,-0.4833500087261201,-90.20151954832531,-0.4502977589766185,X,1,229,4
-91.66799926757812,-0.4500199854373933,-91.63470894041515,-0.4169677356878917,X,1,230,1
-91.40135955810548,-0.4500199854373933,-91.3680692309425,-0.4169677356878917,X,1,231,1
-91.36802673339844,-0.4500199854373933,-91.33473640623545,-0.4169677356878917,X,1,232,1
-91.2680435180664,-0.4500199854373933,-91.23475319090343,-0.4169677356878917,X,1,233,1
-90.93473815917969,-0.4500199854373933,-90.90144783201671,-0.4169677356878917,X,1,234,1
-90.33480072021484,-0.4500199854373933,-90.30151039305187,-0.4169677356878917,X,1,235,4
-90.26814270019531,-0.4500199854373933,-90.23485237303234,-0.4169677356878917,X,1,236,4
-91.66799926757812,-0.4166899919509888,-91.63470894041515,-0.3836377422014873,X,1,237,1
-91.36802673339844,-0.4166899919509888,-91.33473640623545,-0.3836377422014873,X,1,238,1
-91.3013687133789,-0.4166899919509888,-91.26807838621592,-0.3836377422014873,X,1,239,1
-91.2680435180664,-0.4166899919509888,-91.23475319090343,-0.3836377422014873,X,1,240,1
-91.00140380859376,-0.4166899919509888,-90.96811348143078,-0.3836377422014873,X,1,241,1
-90.96807098388672,-0.4166899919509888,-90.93478065672376,-0.3836377422014873,X,1,242,1
-90.93473815917969,-0.4166899919509888,-90.90144783201671,-0.3836377422014873,X,1,243,1
-90.66809844970705,-0.4166899919509888,-90.63480812254406,-0.3836377422014873,X,1,244,7
-90.63477325439452,-0.4166899919509888,-90.60148292723156,-0.3836377422014873,X,1,245,7
-90.6014404296875,-0.4166899919509888,-90.56815010252451,-0.3836377422014873,X,1,246,7
-90.33480072021484,-0.4166899919509888,-90.30151039305187,-0.3836377422014873,X,1,247,4
